name,artist,playlist_id,playlist_name
Agua De Beber                                                                                                                                                                    ,Astrud Gilberto                                 ,7,Mellow Acoustic
Agua De Beber                                                                                                                                                                    ,Sophie Milman                                   ,31,Upbeat Grooves 2
Lá Vem O Brasil Descendo A Ladeira                                                                                                                                               ,Moraes Moreira                                  ,201,Feel-Good Dance 4
Amiga Da Minha Mulher                                                                                                                                                            ,Seu Jorge                                       ,101,Mellow Acoustic 3
O Leãozinho                                                                                                                                                                      ,Caetano Veloso                                  ,210,Acoustic Chill 3
Já Sei Namorar - 2004 Digital Remaster                                                                                                                                           ,Tribalistas                                     ,101,Mellow Acoustic 3
Coração Vagabundo                                                                                                                                                                ,Gal Costa                                       ,7,Mellow Acoustic
Fotografia                                                                                                                                                                       ,Vanessa Da Mata                                 ,101,Mellow Acoustic 3
Fotografia                                                                                                                                                                       ,João Gilberto                                   ,210,Acoustic Chill 3
"Rosa, Menina Rosa                                                                                                                                                              ",Jorge Ben Jor                                   ,7,Mellow Acoustic
Fado Toninho                                                                                                                                                                     ,Deolinda                                        ,9,Mellow Acoustic 2
Mal Por Mal                                                                                                                                                                      ,Deolinda                                        ,210,Acoustic Chill 3
Violão Vadio                                                                                                                                                                     ,Raphael Rabello                                 ,22,Acoustic Instrumentals 2
Chorinho Pra Voce                                                                                                                                                                ,Paulo Moura                                     ,101,Mellow Acoustic 3
Chorando Baixinho                                                                                                                                                                ,Raphael Rabello                                 ,18,Acoustic Chill 2
Samba da Bênção                                                                                                                                                                  ,Maria Bethânia                                  ,9,Mellow Acoustic 2
Acabou Chorare                                                                                                                                                                   ,Sílvia Pérez Cruz                               ,210,Acoustic Chill 3
Ui! (Voce Inventa)                                                                                                                                                               ,Tom Zé                                          ,9,Mellow Acoustic 2
"Augusta, Angélica e Consolação                                                                                                                                                 ",Tom Zé                                          ,9,Mellow Acoustic 2
Todos os olhos                                                                                                                                                                   ,Tom Zé                                          ,9,Mellow Acoustic 2
Vai (Menina amanhã de manhã)                                                                                                                                                     ,Tom Zé                                          ,9,Mellow Acoustic 2
Desde Que o Samba é Samba                                                                                                                                                        ,Gilberto Gil                                    ,101,Mellow Acoustic 3
Insensatez: A Mulher Que Fez                                                                                                                                                     ,Graveola                                        ,9,Mellow Acoustic 2
Ponto De Marinheiro / Marinheiro Só                                                                                                                                              ,Zé Maurício Machline                            ,9,Mellow Acoustic 2
Tanto Mar                                                                                                                                                                        ,Chico Buarque                                   ,200,Happy Grooves
Diz Que Eu Fui Por Aí                                                                                                                                                            ,Eva Fernández                                   ,101,Mellow Acoustic 3
Argumento                                                                                                                                                                        ,Paulinho Da Viola                               ,9,Mellow Acoustic 2
Chuck Berry Fields Forever                                                                                                                                                       ,Gilberto Gil                                    ,9,Mellow Acoustic 2
Brasil Pandeiro                                                                                                                                                                  ,Novos Baianos                                   ,200,Happy Grooves
Preta Pretinha                                                                                                                                                                   ,Novos Baianos                                   ,200,Happy Grooves
Swing de Campo Grande                                                                                                                                                            ,Novos Baianos                                   ,101,Mellow Acoustic 3
Máquina de Ritmo - Ao Vivo                                                                                                                                                       ,Gilberto Gil                                    ,210,Acoustic Chill 3
Back In Bahia (Ao Vivo)                                                                                                                                                          ,Gilberto Gil                                    ,101,Mellow Acoustic 3
Sabor Colorido / Moça Bonita                                                                                                                                                     ,"Elomar, Geraldo Azevedo, Vital Farias, Xangai ",210,Acoustic Chill 3
O Namorado Da Viúva                                                                                                                                                              ,Jorge Ben Jor                                   ,191,Feel-Good Dance 3
Taj Mahal                                                                                                                                                                        ,Jorge Ben Jor                                   ,101,Mellow Acoustic 3
Manada                                                                                                                                                                           ,Bagunço                                         ,4,High-Energy Instrumentals
Dolcenera                                                                                                                                                                        ,Fabrizio De André                               ,211,Upbeat Grooves 4
Nomes de Favela                                                                                                                                                                  ,Moyseis Marques                                 ,7,Mellow Acoustic
Magalenha                                                                                                                                                                        ,Sérgio Mendes                                   ,32,Feel-Good Dance
Deixa A Gira Girar                                                                                                                                                               ,Os Tincoãs                                      ,9,Mellow Acoustic 2
Senhora liberdade                                                                                                                                                                ,Zezé Motta                                      ,9,Mellow Acoustic 2
Berekerê - Voice                                                                                                                                                                 ,Geraldo Azevedo                                 ,7,Mellow Acoustic
Catendé - Live                                                                                                                                                                  ,Vinícius de Moraes                              ,210,Acoustic Chill 3
Coração Imprudente                                                                                                                                                               ,Paulinho Da Viola                               ,7,Mellow Acoustic
Dimokránsa                                                                                                                                                                       ,Mayra Andrade                                   ,101,Mellow Acoustic 3
Kenha Ki Ben Ki Ta Bai - Live                                                                                                                                                    ,Mayra Andrade                                   ,200,Happy Grooves
Baião Destemperado                                                                                                                                                               ,Barbatuques                                     ,170,Feel-Good Dance 2
Adeus Até Mais Ver                                                                                                                                                               ,Homem ao Mar                                    ,210,Acoustic Chill 3
Baianá                                                                                                                                                                           ,Barbatuques                                     ,101,Mellow Acoustic 3
Meu Esquema                                                                                                                                                                      ,Mundo Livre S/A                                 ,101,Mellow Acoustic 3
Oração                                                                                                                                                                           ,A Banda Mais Bonita da Cidade                   ,14,Acoustic Chill
Trem Das Onze                                                                                                                                                                    ,Adoniran Barbosa                                ,7,Mellow Acoustic
O Leaozinho                                                                                                                                                                      ,Caetano Veloso                                  ,210,Acoustic Chill 3
Sonho Meu                                                                                                                                                                        ,Dona Ivone Lara                                 ,7,Mellow Acoustic
Samba De Verao                                                                                                                                                                   ,Caetano Veloso                                  ,210,Acoustic Chill 3
Sonhos                                                                                                                                                                           ,Caetano Veloso                                  ,7,Mellow Acoustic
Shimbalaiê - Live                                                                                                                                                                ,Caetano Veloso                                  ,101,Mellow Acoustic 3
Sampa - Live                                                                                                                                                                     ,Caetano Veloso                                  ,14,Acoustic Chill
Nega Maluca / Billie Jean / Eleanor Rigby                                                                                                                                        ,Caetano Veloso                                  ,101,Mellow Acoustic 3
Get Out Of Town                                                                                                                                                                  ,Caetano Veloso                                  ,18,Acoustic Chill 2
Coração Vagabundo                                                                                                                                                                ,Caetano Veloso                                  ,14,Acoustic Chill
Life On Mars - 1999 Remaster                                                                                                                                                     ,David Bowie                                     ,200,Happy Grooves
Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,18,Acoustic Chill 2
Alegria                                                                                                                                                                          ,Batida                                          ,32,Feel-Good Dance
Pobre e Rico                                                                                                                                                                     ,Batida                                          ,171,Energetic Feel-Good
Tirei o Chapéu                                                                                                                                                                   ,Batida                                          ,32,Feel-Good Dance
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,170,Feel-Good Dance 2
Burguesinha                                                                                                                                                                      ,Seu Jorge                                       ,9,Mellow Acoustic 2
Mina Do Condomínio                                                                                                                                                               ,Seu Jorge                                       ,201,Feel-Good Dance 4
Alma Não Tem Cor                                                                                                                                                                 ,Perotá Chingó                                   ,200,Happy Grooves
Homens                                                                                                                                                                           ,Manu Chao                                       ,101,Mellow Acoustic 3
Se eu quiser falar com Deus - Ao vivo                                                                                                                                            ,Gilberto Gil                                    ,101,Mellow Acoustic 3
Aquele Abraço                                                                                                                                                                    ,Gilberto Gil                                    ,171,Energetic Feel-Good
Aquele abraço - Ao vivo                                                                                                                                                          ,Gilberto Gil                                    ,9,Mellow Acoustic 2
Maria Bethânia                                                                                                                                                                   ,Caetano Veloso                                  ,200,Happy Grooves
Maria Bethânia                                                                                                                                                                   ,Caetano Veloso                                  ,200,Happy Grooves
Sampa                                                                                                                                                                            ,Caetano Veloso                                  ,9,Mellow Acoustic 2
O Ciúme - Remixed Original Album                                                                                                                                                 ,Caetano Veloso                                  ,210,Acoustic Chill 3
Lindeza                                                                                                                                                                          ,Caetano Veloso                                  ,14,Acoustic Chill
